student_id,grade,session_start,duration_min,is_night,correct,total,reward_received,leaderboard_view,intrinsic_choice,peer_interaction,sleep_late,overran,variable_reward,reward_craving,trigger_open,belonging
STU0000,初二,2026-03-02T23:00,16.5,0,9,13,0,0,1,0,1,0,0,0,1,0.71
STU0000,初二,2026-03-21T17:00,13.2,0,5,10,0,0,0,0,0,1,0,1,0,0.18
STU0000,初二,2026-03-02T18:00,19.1,0,4,7,0,0,0,1,1,0,0,0,0,0.17
STU0000,初二,2026-03-24T09:00,19.1,0,4,6,1,0,1,0,0,0,0,0,1,0.51
STU0000,初二,2026-03-02T18:00,14.7,0,4,8,0,0,0,1,1,0,0,0,0,0.34
STU0000,初二,2026-03-26T13:00,14.7,0,12,15,0,1,0,0,1,0,0,1,0,0.14
STU0000,初二,2026-03-06T21:00,9.6,1,11,20,0,1,0,0,0,1,0,0,0,0.47
STU0000,初二,2026-03-19T10:00,25.7,0,11,13,0,1,1,1,1,0,0,0,0,0.21
STU0001,五年级,2026-03-19T11:00,28.2,0,5,6,0,0,0,1,0,0,1,0,0,0.5
STU0001,五年级,2026-03-16T16:00,27.8,0,3,5,0,1,1,1,0,0,0,0,0,0.37
STU0001,五年级,2026-03-12T15:00,10.1,0,15,17,0,1,1,0,0,0,0,0,0,0.57
STU0001,五年级,2026-03-23T20:00,24.8,0,6,18,1,0,1,1,0,0,0,0,0,0.15
STU0001,五年级,2026-03-21T23:00,25.2,0,4,10,0,0,0,0,1,0,1,1,0,0.38
STU0001,五年级,2026-03-24T20:00,16.8,0,4,8,1,0,0,0,0,0,0,1,1,0.25
STU0001,五年级,2026-03-01T11:00,28.0,0,2,5,1,0,0,1,0,0,1,1,0,0.52
STU0001,五年级,2026-03-05T23:00,13.6,0,7,11,0,0,1,0,0,0,0,0,0,0.5
STU0001,五年级,2026-03-23T09:00,19.3,0,3,6,0,0,1,1,1,1,0,1,0,0.64
STU0001,五年级,2026-03-17T10:00,16.3,0,5,9,0,0,1,1,0,1,1,0,0,0.56
STU0002,高一,2026-03-24T18:00,17.5,0,6,9,0,0,1,0,0,0,1,0,0,0.41
STU0002,高一,2026-03-15T14:00,25.8,0,6,7,1,1,0,0,0,0,1,1,1,0.45
STU0002,高一,2026-03-08T18:00,18.0,1,7,9,0,1,1,0,0,1,1,0,0,0.5
STU0002,高一,2026-03-11T12:00,12.6,0,4,7,0,0,0,1,0,1,0,1,1,0.61
STU0002,高一,2026-03-26T16:00,26.4,0,11,18,1,0,0,1,0,1,0,0,0,0.51
STU0002,高一,2026-03-14T23:00,20.1,0,8,14,0,0,1,0,0,1,0,1,0,0.45
STU0002,高一,2026-03-18T18:00,29.1,0,5,8,0,0,1,0,0,0,0,0,0,0.28
STU0002,高一,2026-03-24T15:00,30.1,0,9,11,1,0,0,0,0,0,0,0,0,0.29
STU0002,高一,2026-03-06T16:00,11.0,0,5,9,1,0,1,1,0,0,1,1,0,0.2
STU0002,高一,2026-03-25T12:00,34.4,0,11,19,0,0,1,1,0,0,1,0,0,0.62
STU0003,高一,2026-03-19T14:00,14.8,0,11,12,1,1,0,1,0,1,0,0,0,0.74
STU0003,高一,2026-03-03T18:00,17.5,0,6,9,0,0,1,1,0,0,0,0,1,0.45
STU0003,高一,2026-03-07T12:00,21.4,0,10,18,0,1,1,0,0,0,0,1,0,0.49
STU0003,高一,2026-03-05T11:00,19.0,1,12,13,1,0,1,0,1,0,0,0,1,0.38
STU0003,高一,2026-03-12T12:00,18.0,0,1,6,0,0,1,1,0,0,0,0,1,0.52
STU0003,高一,2026-03-25T18:00,5,0,4,7,1,0,0,0,1,0,1,0,0,0.34
STU0003,高一,2026-03-06T12:00,26.2,0,3,7,0,1,1,0,1,0,0,1,0,0.8
STU0004,初二,2026-03-22T16:00,19.1,0,11,17,0,1,0,1,0,0,0,1,0,0.53
STU0004,初二,2026-03-09T08:00,26.7,0,13,16,0,0,0,1,1,0,0,0,1,0.35
STU0004,初二,2026-03-08T10:00,19.8,1,4,5,1,0,1,1,1,0,1,0,1,0.45
STU0004,初二,2026-03-28T17:00,27.9,0,11,14,0,1,0,1,1,0,1,0,1,0.45
STU0004,初二,2026-03-04T18:00,19.4,0,15,18,0,0,1,0,0,0,1,0,1,0.27
STU0004,初二,2026-03-10T14:00,16.7,0,10,17,0,1,0,1,1,0,1,0,0,0.2
STU0004,初二,2026-03-27T11:00,19.0,0,8,18,0,0,0,0,0,0,1,0,1,0.56
STU0004,初二,2026-03-19T09:00,31.4,0,13,19,0,1,0,1,0,0,1,0,0,0.43
STU0005,高一,2026-03-16T16:00,17.6,0,14,16,0,0,1,1,0,0,1,1,1,0.51
STU0005,高一,2026-03-21T23:00,28.8,0,5,6,0,1,1,0,1,0,1,1,1,0.7
STU0005,高一,2026-03-18T21:00,11.8,0,2,8,1,1,0,1,1,0,0,1,0,0.55
STU0005,高一,2026-03-16T19:00,17.8,0,5,9,1,0,1,0,0,1,0,1,0,0.24
STU0005,高一,2026-03-04T20:00,17.1,0,11,15,1,1,1,0,1,0,0,0,0,0.69
STU0005,高一,2026-03-02T13:00,21.3,0,6,11,0,0,1,1,0,1,1,1,0,0.33
STU0006,五年级,2026-03-04T08:00,18.6,0,9,15,1,0,0,0,1,0,1,0,0,0.54
STU0006,五年级,2026-03-11T19:00,12.7,0,10,19,1,0,0,0,0,0,1,0,0,0.4
STU0006,五年级,2026-03-22T16:00,23.9,0,6,12,1,0,1,0,0,0,0,0,1,0.62
STU0006,五年级,2026-03-11T21:00,14.3,0,8,12,0,0,0,1,0,1,1,0,0,0.32
STU0006,五年级,2026-03-10T22:00,22.4,0,10,14,0,0,1,0,1,0,0,0,1,0.61
STU0006,五年级,2026-03-02T08:00,17.7,0,7,11,0,0,1,0,0,0,0,1,0,0.28
STU0007,初二,2026-03-15T14:00,32.8,0,5,9,1,1,1,0,0,0,0,0,0,0.51
STU0007,初二,2026-03-06T19:00,23.3,0,16,20,0,1,0,1,0,1,0,0,0,0.63
STU0007,初二,2026-03-25T13:00,15.1,0,12,17,1,0,1,0,0,0,0,0,1,0.46
STU0007,初二,2026-03-28T21:00,10.9,0,7,15,0,0,0,1,0,0,0,1,0,0.55
STU0007,初二,2026-03-25T17:00,10.4,0,4,5,1,0,1,1,0,0,0,0,1,0.21
STU0007,初二,2026-03-10T09:00,21.9,0,12,13,1,1,0,0,1,0,0,1,1,0.49
STU0007,初二,2026-03-03T13:00,7.5,1,8,9,1,0,1,0,1,0,0,0,1,0.3
STU0007,初二,2026-03-24T22:00,20.4,0,3,5,0,0,1,1,0,0,0,0,0,0.37
STU0007,初二,2026-03-05T14:00,9.9,0,4,5,0,0,0,0,0,1,0,0,0,0.3
STU0008,五年级,2026-03-04T23:00,8.3,0,5,18,0,0,0,1,0,0,0,0,0,0.35
STU0008,五年级,2026-03-18T12:00,21.3,0,8,11,0,0,0,0,0,0,0,0,1,0.32
STU0008,五年级,2026-03-27T18:00,15.5,0,7,8,0,0,0,1,0,0,0,1,0,0.61
STU0008,五年级,2026-03-17T17:00,15.8,0,9,13,1,0,1,1,1,0,1,0,0,0.59
STU0008,五年级,2026-03-25T14:00,16.2,0,3,5,0,0,1,0,1,0,0,0,1,0.72
STU0008,五年级,2026-03-07T16:00,30.7,1,8,15,0,0,1,0,1,0,0,1,0,0.36
STU0008,五年级,2026-03-14T15:00,21.0,0,6,11,0,1,1,0,0,0,0,1,0,0.21
STU0008,五年级,2026-03-22T22:00,30.3,0,7,12,0,0,1,1,1,1,0,1,0,0.59
STU0008,五年级,2026-03-17T23:00,16.6,0,6,9,0,1,1,0,0,1,1,1,0,0.75
STU0009,高一,2026-03-23T12:00,17.5,0,14,20,0,0,1,1,1,0,0,0,1,0.14
STU0009,高一,2026-03-14T08:00,20.3,0,5,8,0,0,1,1,0,0,0,0,0,0.49
STU0009,高一,2026-03-01T15:00,9.5,0,8,9,0,0,0,0,1,1,0,0,0,0.4
STU0009,高一,2026-03-14T14:00,14.1,0,5,11,0,0,0,1,0,0,0,0,0,0.39
STU0009,高一,2026-03-01T10:00,26.4,0,6,7,0,0,0,0,1,0,0,1,1,0.58
STU0009,高一,2026-03-07T23:00,26.3,0,13,15,1,1,0,0,0,0,0,0,0,0.7
STU0009,高一,2026-03-19T11:00,18.7,0,11,15,1,0,1,0,0,0,0,1,0,0.72
STU0009,高一,2026-03-02T13:00,20.1,1,2,5,0,0,0,0,0,0,1,0,0,0.24
STU0009,高一,2026-03-12T18:00,27.3,0,4,8,1,0,1,1,0,0,0,1,1,0.85
STU0009,高一,2026-03-26T13:00,13.8,0,7,11,0,0,0,0,0,0,0,1,0,0.51
STU0010,五年级,2026-03-20T19:00,31.8,0,9,16,0,0,1,0,0,0,1,0,1,0.48
STU0010,五年级,2026-03-06T10:00,28.7,0,8,8,0,1,1,1,0,0,1,0,1,0.33
