user_id,label,r_true,n_events
U0000,1,0.548,30
U0001,1,0.803,73
U0002,1,0.782,87
U0003,1,0.981,79
U0004,0,0.092,50
U0005,1,0.788,74
U0006,0,0.442,59
U0007,1,0.836,85
U0008,1,0.799,79
U0009,1,0.890,32
U0010,0,0.276,76
U0011,0,0.417,42
U0012,1,0.758,86
U0013,0,0.075,89
U0014,0,0.367,47
U0015,1,0.888,64
U0016,0,0.481,46
U0017,1,0.559,82
U0018,1,0.827,60
U0019,0,0.061,85
U0020,0,0.322,75
U0021,0,0.326,72
U0022,1,0.806,47
U0023,0,0.439,32
U0024,0,0.289,59
U0025,0,0.484,88
U0026,0,0.406,37
U0027,1,0.787,85
U0028,1,0.846,90
U0029,0,0.409,52
U0030,0,0.425,67
U0031,1,0.974,41
U0032,1,0.506,35
U0033,0,0.220,32
U0034,1,0.927,60
U0035,0,0.467,43
U0036,0,0.256,75
U0037,1,0.838,67
U0038,0,0.206,71
U0039,1,0.564,54
U0040,1,0.724,55
U0041,0,0.177,70
U0042,0,0.298,84
U0043,0,0.066,72
U0044,0,0.163,44
U0045,1,0.701,31
U0046,0,0.382,62
U0047,1,0.682,76
U0048,0,0.496,67
U0049,1,0.546,33
U0050,1,0.809,63
U0051,1,0.524,51
U0052,1,0.569,89
U0053,1,0.572,83
U0054,0,0.245,73
U0055,1,0.587,34
U0056,1,0.902,38
U0057,1,0.788,56
U0058,1,0.582,51
U0059,0,0.223,82
U0060,0,0.242,60
U0061,1,0.634,85
U0062,1,0.610,66
U0063,0,0.436,66
U0064,1,0.829,68
U0065,0,0.238,32
U0066,0,0.479,78
U0067,1,0.647,71
U0068,1,0.593,38
U0069,0,0.246,50
U0070,1,0.662,70
U0071,0,0.116,74
U0072,1,0.746,37
U0073,1,0.548,49
U0074,0,0.410,80
U0075,1,0.533,45
U0076,0,0.403,88
U0077,1,0.772,32
U0078,0,0.436,77
U0079,1,0.532,37
U0080,1,0.714,43
U0081,0,0.156,62
U0082,1,0.673,90
U0083,1,0.735,90
U0084,0,0.246,55
U0085,0,0.280,85
U0086,0,0.098,40
U0087,1,0.724,70
U0088,1,0.926,76
U0089,1,0.568,40
U0090,1,0.786,38
U0091,0,0.418,52
U0092,1,0.685,77
U0093,0,0.282,30
U0094,1,0.690,52
U0095,1,0.558,64
U0096,1,0.546,47
U0097,1,0.793,66
U0098,0,0.293,60
U0099,0,0.397,33
U0100,1,0.598,72
U0101,0,0.191,32
U0102,1,0.787,49
U0103,1,0.600,76
U0104,0,0.183,73
U0105,1,0.504,68
U0106,0,0.037,46
U0107,0,0.319,45
U0108,0,0.357,76
U0109,1,0.752,30
U0110,0,0.272,50
U0111,1,0.668,37
U0112,1,0.612,38
U0113,1,0.743,53
U0114,0,0.196,80
U0115,0,0.403,44
U0116,0,0.313,42
U0117,0,0.337,79
U0118,1,0.614,66
U0119,1,0.624,53
U0120,1,0.544,52
U0121,1,0.717,45
U0122,0,0.407,68
U0123,0,0.192,79
U0124,1,0.740,78
U0125,1,0.910,81
U0126,1,0.784,49
U0127,1,0.657,68
U0128,1,0.654,55
U0129,1,0.528,53
U0130,1,0.620,85
U0131,0,0.231,76
U0132,0,0.221,52
U0133,0,0.153,88
U0134,0,0.452,90
U0135,1,0.897,70
U0136,1,0.715,84
U0137,0,0.194,50
U0138,1,0.539,54
U0139,0,0.130,67
U0140,0,0.447,80
U0141,0,0.240,43
U0142,1,0.573,45
U0143,0,0.488,47
U0144,0,0.400,54
U0145,1,0.567,34
U0146,0,0.339,43
U0147,1,0.811,49
U0148,0,0.491,90
U0149,1,0.867,30
U0150,1,0.535,75
U0151,1,0.629,51
U0152,0,0.377,32
U0153,1,0.689,60
U0154,0,0.337,33
U0155,1,0.794,70
U0156,1,0.711,73
U0157,0,0.234,62
U0158,1,0.713,81
U0159,1,0.716,33
U0160,1,0.678,73
U0161,0,0.078,32
U0162,1,0.751,61
U0163,1,0.717,61
U0164,1,0.636,89
U0165,1,0.506,87
U0166,0,0.444,69
U0167,0,0.431,86
U0168,0,0.445,85
U0169,0,0.363,36
U0170,1,0.604,72
U0171,0,0.134,72
U0172,0,0.495,57
U0173,0,0.451,90
U0174,0,0.325,41
U0175,0,0.454,49
U0176,0,0.314,80
U0177,1,0.696,36
U0178,0,0.387,67
U0179,0,0.493,51
U0180,0,0.130,66
U0181,0,0.350,51
U0182,1,0.795,34
U0183,0,0.193,71
U0184,1,0.650,46
U0185,1,0.873,71
U0186,1,0.757,56
U0187,0,0.479,75
U0188,1,0.625,37
U0189,0,0.264,83
U0190,0,0.281,48
U0191,1,0.633,78
U0192,0,0.225,86
U0193,1,0.679,33
U0194,0,0.255,63
U0195,1,0.748,66
U0196,0,0.311,60
U0197,1,0.553,36
U0198,0,0.291,71
U0199,0,0.309,56
U0200,1,0.858,52
U0201,1,0.847,40
U0202,1,0.584,89
U0203,0,0.147,69
U0204,0,0.446,35
U0205,1,0.687,54
U0206,1,0.778,55
U0207,1,0.617,62
U0208,0,0.327,43
U0209,0,0.275,47
U0210,1,0.716,47
U0211,1,0.506,83
U0212,0,0.382,89
U0213,0,0.466,89
U0214,1,0.766,35
U0215,1,0.821,87
U0216,1,0.578,40
U0217,0,0.428,44
U0218,0,0.042,82
U0219,0,0.319,55
U0220,1,0.567,40
U0221,1,0.601,72
U0222,1,0.797,71
U0223,1,0.895,44
U0224,0,0.437,53
U0225,1,0.509,62
U0226,1,0.889,67
U0227,1,0.532,81
U0228,1,0.716,45
U0229,0,0.310,30
U0230,0,0.217,75
U0231,0,0.168,66
U0232,0,0.395,49
U0233,1,0.592,63
U0234,1,0.819,65
U0235,0,0.454,31
U0236,1,0.669,61
U0237,1,0.540,75
U0238,1,0.767,61
U0239,1,0.754,85
U0240,0,0.086,83
U0241,1,0.640,52
U0242,0,0.419,60
U0243,1,0.591,85
U0244,1,0.618,79
U0245,0,0.134,80
U0246,0,0.376,77
U0247,0,0.233,60
U0248,0,0.431,54
U0249,1,0.649,46
U0250,0,0.117,34
U0251,1,0.828,74
U0252,1,0.509,52
U0253,1,0.542,75
U0254,1,0.944,45
U0255,1,0.594,63
U0256,1,0.529,66
U0257,1,0.712,80
U0258,1,0.636,90
U0259,0,0.182,43
U0260,0,0.139,74
U0261,0,0.218,57
U0262,0,0.449,90
U0263,0,0.437,37
U0264,0,0.433,30
U0265,1,0.641,86
U0266,0,0.489,41
U0267,0,0.117,42
U0268,1,0.539,71
U0269,0,0.382,41
U0270,0,0.310,81
U0271,1,0.868,40
U0272,1,0.669,38
U0273,0,0.082,61
U0274,0,0.313,60
U0275,1,0.510,50
U0276,0,0.308,34
U0277,0,0.339,44
U0278,0,0.354,63
U0279,0,0.273,37
U0280,0,0.408,34
U0281,1,0.636,51
U0282,1,0.738,66
U0283,1,0.828,35
U0284,1,0.623,77
U0285,1,0.612,50
U0286,0,0.437,71
U0287,1,0.563,40
U0288,0,0.210,71
U0289,1,0.534,52
U0290,0,0.410,66
U0291,1,0.748,33
U0292,1,0.626,58
U0293,0,0.140,45
U0294,0,0.132,71
U0295,1,0.528,40
U0296,1,0.580,88
U0297,1,0.782,56
U0298,0,0.244,33
U0299,0,0.123,68
U0300,0,0.047,49
U0301,1,0.569,51
U0302,0,0.294,64
U0303,0,0.278,75
U0304,1,0.567,41
U0305,0,0.365,73
U0306,1,0.731,75
U0307,1,0.513,76
U0308,1,0.585,36
U0309,1,0.775,60
U0310,1,0.518,34
U0311,1,0.723,53
U0312,0,0.270,90
U0313,1,0.632,49
U0314,1,0.647,85
U0315,0,0.368,81
U0316,0,0.342,40
U0317,1,0.564,42
U0318,0,0.269,44
U0319,0,0.244,56
U0320,1,0.778,78
U0321,1,0.605,36
U0322,0,0.145,36
U0323,1,0.520,46
U0324,0,0.266,85
U0325,0,0.152,60
U0326,0,0.364,67
U0327,1,0.655,74
U0328,1,0.925,55
U0329,0,0.404,68
U0330,0,0.428,64
U0331,0,0.230,66
U0332,0,0.158,58
U0333,1,0.591,66
U0334,1,0.581,65
U0335,0,0.467,59
U0336,0,0.047,36
U0337,0,0.170,42
U0338,0,0.310,81
U0339,1,0.706,68
U0340,1,0.709,76
U0341,1,0.547,59
U0342,1,0.710,57
U0343,1,0.729,58
U0344,1,0.668,81
U0345,0,0.451,88
U0346,0,0.058,40
U0347,0,0.390,89
U0348,1,0.749,51
U0349,0,0.188,42
U0350,0,0.365,89
U0351,0,0.348,75
U0352,0,0.382,35
U0353,1,0.773,55
U0354,0,0.463,66
U0355,1,0.620,83
U0356,0,0.431,73
U0357,0,0.355,74
U0358,1,0.818,42
U0359,1,0.517,73
U0360,0,0.134,66
U0361,1,0.500,32
U0362,0,0.476,54
U0363,1,0.557,81
U0364,0,0.139,62
U0365,1,0.548,58
U0366,0,0.356,62
U0367,0,0.116,36
U0368,0,0.376,81
U0369,0,0.140,37
U0370,0,0.328,36
U0371,1,0.559,44
U0372,0,0.322,49
U0373,0,0.185,75
U0374,0,0.448,45
U0375,1,0.523,78
U0376,0,0.465,38
U0377,0,0.029,44
U0378,0,0.356,51
U0379,0,0.385,73
U0380,1,0.904,31
U0381,0,0.412,30
U0382,1,0.818,36
U0383,1,0.738,37
U0384,1,0.789,71
U0385,1,0.715,39
U0386,1,0.577,70
U0387,0,0.226,84
U0388,1,0.560,44
U0389,0,0.290,45
U0390,1,0.520,36
U0391,1,0.969,83
U0392,0,0.095,48
U0393,1,0.540,54
U0394,1,0.622,38
U0395,1,0.943,62
U0396,0,0.416,82
U0397,1,0.630,86
U0398,1,0.879,61
U0399,1,0.544,36
U0400,1,0.649,81
U0401,1,0.534,54
U0402,1,0.557,73
U0403,0,0.384,52
U0404,1,0.848,63
U0405,1,0.816,85
U0406,0,0.402,74
U0407,1,0.607,69
U0408,1,0.619,61
U0409,0,0.118,72
U0410,1,0.516,83
U0411,1,0.745,31
U0412,1,0.747,53
U0413,1,0.934,77
