policy,seed,err_rate,rounds_to_target,cum_time,final_gain,final_regret
eps-greedy,0,0.120767,40,182.666667,3.656706,3.352694
eps-greedy,1,0.813838,121,229.111111,0.311155,5.432736
eps-greedy,2,0.156716,32,225.777778,5.051053,1.973926
eps-greedy,3,0.125362,31,247.333333,5.151480,1.873471
eps-greedy,4,0.723268,121,211.333333,0.880328,5.257853
eps-greedy,5,0.137838,29,250.888889,5.657992,1.343819
eps-greedy,6,0.872998,121,211.333333,0.021406,3.961771
eps-greedy,7,0.290942,64,173.111111,2.550443,4.279869
eps-greedy,8,0.245169,44,250.222222,5.186130,1.812648
eps-greedy,9,0.256778,62,186.666667,3.164533,3.696281
eps-greedy,10,0.386663,74,219.777778,3.566370,3.059021
eps-greedy,11,0.409974,59,250.000000,4.280658,2.329200
eps-greedy,12,0.890899,121,291.111111,0.627186,3.490949
eps-greedy,13,0.400709,73,255.555556,3.312623,3.141634
eps-greedy,14,0.322742,52,249.333333,4.916918,1.591336
eps-greedy,15,0.900158,121,239.111111,0.019979,4.434676
eps-greedy,16,0.256645,64,200.444444,3.029084,3.520986
eps-greedy,17,0.111463,34,220.888889,4.536056,2.483590
eps-greedy,18,0.241604,55,204.222222,3.324594,3.606207
eps-greedy,19,0.356234,66,208.666667,2.917924,3.702017
eps-greedy,20,0.435261,87,206.222222,2.558641,3.854115
eps-greedy,21,0.376499,88,160.444444,2.015140,4.048026
eps-greedy,22,0.071640,31,176.222222,3.373848,3.645156
eps-greedy,23,0.375275,72,211.333333,3.155460,3.629575
eps-greedy,24,0.721674,121,210.000000,1.069367,3.544215
eps-greedy,25,0.145231,40,232.888889,4.944402,2.067443
eps-greedy,26,0.231924,32,260.222222,5.284935,1.743893
eps-greedy,27,0.351335,65,228.444444,3.366224,3.425462
eps-greedy,28,0.194147,52,192.444444,3.090818,3.670593
eps-greedy,29,0.202930,32,247.333333,5.660478,1.196850
eps-greedy,30,0.527957,97,199.333333,1.721641,4.467976
eps-greedy,31,0.194257,43,242.888889,5.715877,1.182061
eps-greedy,32,0.235644,52,192.222222,2.817098,4.145822
eps-greedy,33,0.549592,94,197.777778,1.848899,3.517251
eps-greedy,34,0.140022,27,252.444444,5.247439,1.768001
eps-greedy,35,0.219362,65,144.666667,2.545082,3.870959
eps-greedy,36,0.527708,95,205.111111,2.443124,3.092510
eps-greedy,37,0.088882,40,162.444444,3.146594,3.825630
eps-greedy,38,0.232822,39,250.666667,5.550670,1.473057
eps-greedy,39,0.358599,85,182.888889,2.257239,4.217554
eps-greedy,40,0.064928,39,177.777778,3.760909,3.260991
eps-greedy,41,0.480007,99,200.000000,1.745816,4.605643
eps-greedy,42,0.858571,121,218.000000,0.094227,4.838456
eps-greedy,43,0.108934,30,239.777778,5.200797,1.819977
eps-greedy,44,0.369948,66,239.555556,3.811008,2.990988
eps-greedy,45,0.349526,48,263.111111,4.549200,2.318345
eps-greedy,46,0.150921,39,210.444444,4.381032,2.615275
eps-greedy,47,0.386104,83,179.333333,2.169670,4.347591
eps-greedy,48,0.362857,62,235.555556,3.685846,2.895832
eps-greedy,49,0.236484,49,232.222222,4.251612,2.595285
eps-greedy,50,0.381339,73,195.777778,2.249535,3.982096
eps-greedy,51,0.478233,89,236.666667,2.793096,3.141754
eps-greedy,52,0.217239,48,228.888889,4.051224,2.927087
eps-greedy,53,0.293935,61,197.333333,2.748360,3.775178
eps-greedy,54,0.276974,58,203.111111,3.922308,2.906878
eps-greedy,55,0.349568,71,223.555556,3.584852,2.736317
eps-greedy,56,0.114820,49,146.000000,3.266293,3.645671
eps-greedy,57,0.555071,103,220.222222,1.840456,3.887037
eps-greedy,58,0.296443,58,212.888889,2.834224,3.635480
eps-greedy,59,0.262547,63,202.444444,2.827264,3.743645
thompson,0,0.084351,49,131.777778,2.933472,4.039982
thompson,1,0.078417,35,169.777778,3.198647,3.818367
thompson,2,0.070641,33,165.333333,3.251259,3.765511
thompson,3,0.101964,44,186.888889,3.541607,3.467271
thompson,4,0.089601,39,147.777778,3.151304,3.869686
thompson,5,0.078522,36,151.333333,3.198435,3.739271
thompson,6,0.083822,44,132.000000,2.934769,3.992122
thompson,7,0.073217,37,145.555556,3.174071,3.828611
thompson,8,0.086515,41,174.666667,3.394578,3.621840
thompson,9,0.083266,48,135.777778,2.901159,4.067191
thompson,10,0.088855,43,138.222222,3.018456,3.843793
thompson,11,0.142836,35,241.555556,5.231766,1.782893
thompson,12,0.087711,43,133.555556,3.052958,3.787300
thompson,13,0.089918,26,196.000000,3.651979,3.328486
thompson,14,0.323134,28,295.777778,6.085862,0.865276
thompson,15,0.083250,45,142.666667,2.947400,4.038216
thompson,16,0.090308,47,132.222222,2.909032,3.975392
thompson,17,0.086183,40,148.222222,2.994434,4.028175
