id,key,name_zh,name_en,governance_letter,gov_category_zh,registry_category,stage,disposition,maturity,direction,step_mapped,is_enabled_gated,impl_ref
LF-M01,variable_ratio_reward,变比率奖励（宝箱）,Variable-Ratio Reward,A,retention,retention,during,K,complete,unassigned,Y,Y,gamification_service.py:GamificationService
LF-M02,near_miss,濒赢效应,Near-Miss Effect,A,retention,retention,during,K,complete,unassigned,N,N,gamification_service.py:139
LF-M03,dopamine_rhythm,奖励节拍（多巴胺节律）,Dopamine Rhythm,A,retention,retention,during,R,partial,unassigned,N,N,gamification_service.py:460
LF-M04,instant_gratification,即时满足,Instant Gratification,A,motivation,motivation,during,R,partial,unassigned,Y,Y,positive_addiction_engine.py:588
LF-M05,surprise_delight,惊喜与愉悦,Surprise & Delight,A,motivation,motivation,during,R,partial,unassigned,Y,Y,addiction_engine_v3.py:199
LF-M06,time_based_bonus,时间限定加成,Time-Based Bonus,A,retention,retention,during,K,complete,unassigned,Y,Y,duolingo_addiction_engine.py:TimeBasedBonusEngine
LF-M07,collection,集换收藏,Collection / Completion,A,retention,retention,ambient,R,partial,approach,N,N,deep_addiction_engine.py:CollectionEngine
LF-M08,scarcity,稀缺性,Scarcity,A,motivation,motivation,pre,R,partial,approach,Y,Y,deep_addiction_engine.py:461
LF-M09,loss_aversion,损失厌恶,Loss Aversion,B,retention,retention,post,M,partial,unassigned,N,N,addiction_engine_v3.py:7
LF-M10,sunk_cost_reminder,沉没成本提示,Sunk-Cost Reminder,B,retention,retention,post,R,partial,approach,N,N,addiction_engine_v3.py:36
LF-M11,streak,连胜,Streak,B,retention,retention,post,M,complete,unassigned,N,N,duolingo_addiction_engine.py:DuolingoStreakEngine
LF-M12,streak_sanctification,连胜神圣化,Streak Sanctification,B,retention,retention,post,R,partial,unassigned,Y,Y,deep_addiction_engine.py:308
LF-M13,zeigarnik,蔡格尼克效应,Zeigarnik Effect,B,retention,retention,post,M,partial,approach,Y,Y,addiction_engine_v3.py:108
LF-M14,peak_end,峰终定律,Peak-End Rule,B,motivation,motivation,during,M,partial,unassigned,Y,Y,addiction_engine_v3.py:163
LF-M15,goal_gradient,目标梯度/近距目标,Goal Gradient,B,motivation,motivation,during,R,partial,unassigned,Y,Y,gamification_service.py:GamificationService.get_goal_progress
